********************************************************
Biros and Ghattas Full-space method...with P2 preconditioner
Using 9040 design variables: 9000 simulation variables and 40 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000287724       0.00301912        0.00788993        6.86876           40                2                 0                 
2                 4.62408e-06       0.00118543        0.00641518        9.0807            40                1                 0                 
3                 6.69535e-07       0.000555121       0.00137428        9.56491           40                1                 0                 
4                 4.88214e-08       4.80951e-05       0.00017128        2.86554           40                1                 0                 
5                 2.19991e-09       3.52216e-06       9.24658e-07       2.03268           40                1                 0                 
6                 1.4233e-09        2.3237e-09        2.08626e-08       0.733624          40                1                 0                 
7                 9.26771e-10       3.66885e-09       1.50508e-08       0.837809          40                1                 0                 
8                 6.06296e-10       1.46172e-09       7.7982e-09        0.473712          40                1                 0                 
9                 3.99815e-10       1.67919e-09       6.24449e-09       0.538975          40                1                 0                 
10                2.65867e-10       8.95397e-10       3.28693e-09       0.307632          40                1                 0                 
11                1.79307e-10       8.50338e-10       2.62261e-09       0.3476            40                1                 0                 
12                1.21762e-10       6.76246e-10       1.57885e-09       0.2069            40                1                 0                 
13                8.46746e-11       4.67431e-10       1.30015e-09       0.223411          40                1                 0                 
14                6.0746e-11        3.79162e-10       5.49783e-10       0.132455          40                1                 0                 
15                4.49737e-11       2.94353e-10       4.03042e-10       0.146536          40                1                 0                 
16                3.42759e-11       2.5986e-10        2.5066e-10        0.0901139         40                1                 0                 
17                2.70275e-11       2.0119e-10        2.00599e-10       0.0986458         40                1                 0                 
18                2.18858e-11       2.3079e-10        1.34374e-10       0.0644094         40                1                 0                 
19                1.82855e-11       1.28749e-10       9.33709e-11       0.0682621         40                1                 0                 
20                1.55481e-11       1.55899e-10       6.8249e-11        0.0496785         40                1                 0                 
21                1.35163e-11       1.02774e-10       4.91916e-11       0.0499591         40                1                 0                 
22                1.18216e-11       1.51745e-10       4.46606e-11       0.0426519         40                1                 0                 
23                1.0493e-11        7.73191e-11       3.13878e-11       0.0385411         40                1                 0                 
Optimization Terminated with Status: Converged
The process took 1357.83 seconds to run.
