********************************************************
Biros and Ghattas Full-space method...with P2A preconditioner
Using 9060 design variables: 9000 simulation variables and 60 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286784       0.00318787        0.00805124        7.35333           459               2                 0                 
2                 4.42887e-06       0.000681598       0.00644952        51.6711           451               1                 0                 
3                 1.05179e-05       0.00103068        0.00396484        192.312           486               2                 0                 
4                 2.74724e-05       0.00156825        0.00117782        1388.46           523               1                 0                 
5                 0.000117238       0.00677807        0.0103745         2249.56           523               30                0                 
6                 6.64784e-05       0.00518498        0.00803717        93.5154           466               3                 0                 
7                 0.000201899       0.00818457        0.00824335        30524.6           568               3                 0                 
8                 0.000145418       0.00447851        0.00553132        57.5641           464               2                 0                 
9                 8.54865e-05       0.00406675        0.00716022        3785.2            540               3                 0                 
10                6.83791e-05       0.00209091        0.00408683        266.732           486               2                 0                 
11                4.78029e-05       0.000201929       0.00169449        1811.77           523               1                 0                 
12                5.76049e-06       0.000201828       0.0013556         17936.1           566               1                 0                 
13                6.51242e-06       0.000194781       0.00130446        182.168           544               5                 0                 
14                5.17067e-06       0.000339082       0.000333212       467.977           524               1                 0                 
15                2.07724e-06       8.80244e-05       0.000400316       3263              545               1                 0                 
16                1.89444e-06       1.33941e-05       4.65834e-06       227.259           529               1                 0                 
17                1.1474e-08        1.63282e-05       4.40757e-05       11426.3           609               1                 0                 
18                6.84656e-09       2.02281e-07       3.07282e-08       0.296579          453               1                 0                 
19                6.80012e-09       2.13565e-10       4.93826e-10       4.13659           527               1                 0                 
20                6.80011e-09       9.27471e-12       1.73786e-12       0.000281758       388               1                 0                 
Optimization Terminated with Status: Converged
The process took 978.703 seconds to run.
