Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.434825e-03   8.760010e-03   
  1     1.359525e-03   8.432469e-03   8.760010e-03   2         2         1         0         
  2     3.048010e-04   1.300629e-03   2.338864e-01   3         3         1         0         
  3     2.550202e-04   9.364275e-04   5.050119e-02   4         4         1         0         
  4     1.987347e-04   7.941609e-04   9.469851e-02   5         5         1         0         
  5     1.580396e-04   5.928167e-04   1.054780e-01   6         6         1         0         
  6     1.297157e-04   5.928302e-04   1.491612e-01   7         7         1         0         
  7     1.136618e-04   3.345437e-04   8.614928e-02   8         8         1         0         
  8     1.046889e-04   3.011962e-04   4.359050e-02   9         9         1         0         
  9     8.424413e-05   3.064812e-04   1.645447e-01   10        10        1         0         
  10    7.921414e-05   2.950656e-04   7.542857e-02   12        11        2         0         
  11    7.479601e-05   1.407719e-04   5.768068e-02   13        12        1         0         
  12    7.228949e-05   1.197839e-04   3.749567e-02   14        13        1         0         
  13    6.842621e-05   2.116268e-04   6.837160e-02   15        14        1         0         
  14    6.060706e-05   3.503309e-04   1.561125e-01   16        15        1         0         
  15    4.738400e-05   4.286783e-04   3.019959e-01   17        16        1         0         
  16    3.480444e-05   2.509441e-04   3.278833e-01   18        17        1         0         
  17    3.161750e-05   8.073955e-05   9.265934e-02   19        18        1         0         
  18    3.122452e-05   2.641075e-05   2.156077e-02   20        19        1         0         
  19    3.114352e-05   3.499229e-05   1.370700e-02   21        20        1         0         
  20    3.091289e-05   5.543547e-05   2.563256e-02   22        21        1         0         
  21    3.028423e-05   9.303998e-05   5.325751e-02   23        22        1         0         
  22    2.874681e-05   1.497646e-04   1.231531e-01   24        23        1         0         
  23    2.539051e-05   2.141831e-04   2.840518e-01   25        24        1         0         
  24    1.930094e-05   2.631102e-04   5.653184e-01   26        25        1         0         
  25    1.849584e-05   4.318351e-04   9.780372e-01   27        26        1         0         
  26    8.859892e-06   1.605518e-04   1.763119e-01   28        27        1         0         
  27    5.885115e-06   7.763699e-05   1.667444e-01   29        28        1         0         
  28    4.422051e-06   5.778305e-05   1.736284e-01   30        29        1         0         
  29    3.531857e-06   8.146219e-05   1.057256e-01   31        30        1         0         
  30    1.918273e-06   1.114384e-04   1.916917e-01   32        31        1         0         
  31    5.029757e-07   7.988711e-05   1.773705e-01   33        32        1         0         
  32    6.079724e-08   1.942286e-05   5.276618e-02   34        33        1         0         
  33    4.182205e-08   1.848726e-06   1.717980e-02   35        34        1         0         
  34    4.123557e-08   8.362399e-07   4.978422e-03   36        35        1         0         
  35    4.100612e-08   8.067936e-07   7.765128e-04   37        36        1         0         
  36    3.892536e-08   1.626277e-06   5.927219e-03   38        37        1         0         
  37    3.620429e-08   3.233817e-06   6.862553e-03   39        38        1         0         
  38    3.277963e-08   2.251612e-06   1.031349e-02   40        39        1         0         
  39    3.152017e-08   4.693185e-06   9.333564e-03   41        40        1         0         
  40    3.088986e-08   5.057395e-07   9.610535e-04   42        41        1         0         
  41    3.084785e-08   1.625561e-07   1.160080e-03   43        42        1         0         
  42    3.084172e-08   1.403743e-07   1.905980e-04   44        43        1         0         
  43    3.081916e-08   2.074181e-07   3.972646e-04   45        44        1         0         
  44    3.076053e-08   4.598168e-07   8.365771e-04   46        45        1         0         
  45    3.062116e-08   8.781911e-07   1.878453e-03   47        46        1         0         
  46    3.024186e-08   1.566186e-06   5.176725e-03   48        47        1         0         
  47    2.925664e-08   2.665335e-06   1.383714e-02   49        48        1         0         
  48    2.682148e-08   4.223339e-06   3.539808e-02   50        49        1         0         
  49    2.152376e-08   6.048005e-06   8.079806e-02   51        50        1         0         
  50    1.300043e-08   6.900118e-06   1.468648e-01   52        51        1         0         
  51    1.132711e-08   9.981827e-06   2.198540e-01   53        52        1         0         
  52    1.961703e-09   3.400213e-06   3.461210e-02   54        53        1         0         
  53    2.700922e-10   1.214920e-06   1.186052e-02   55        54        1         0         
  54    2.231652e-11   1.916031e-07   2.524006e-03   56        55        1         0         
  55    1.822771e-11   2.054908e-08   1.037274e-03   57        56        1         0         
  56    1.817673e-11   7.070513e-09   1.179722e-04   58        57        1         0         
  57    1.816374e-11   7.797596e-09   2.105143e-05   59        58        1         0         
  58    1.806603e-11   2.037984e-08   1.029534e-04   60        59        1         0         
  59    1.787514e-11   3.823134e-08   1.272941e-04   61        60        1         0         
  60    1.733042e-11   6.997628e-08   2.519577e-04   62        61        1         0         
  61    1.607138e-11   1.130066e-07   4.483125e-04   63        62        1         0         
  62    1.334049e-11   1.613158e-07   8.569452e-04   64        63        1         0         
  63    8.987970e-12   1.782199e-07   1.360163e-03   65        64        1         0         
  64    4.923625e-12   1.188594e-07   1.397227e-03   66        65        1         0         
  65    3.423098e-12   3.593118e-08   6.511285e-04   67        66        1         0         
  66    3.238930e-12   3.464705e-09   2.537750e-04   68        67        1         0         
