96: ********************************************************
96: Biros and Ghattas Full-space method...with P4A preconditioner
96: Using 16060 design variables: 16000 simulation variables and 60 control variables.
96: Line Search: Backtracking satisfying Null Curvature Condition
96: ********************************************************
96: Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
96: 1                 0.000764022       0.00100317        0.00166163        57.6748           606               3                 0                 
96: 2                 0.000161727       0.00140286        0.00417251        2194.13           528               2                 0                 
96: 3                 1.16997e-06       0.000782652       0.00289149        3324.87           477               1                 0                 
96: 4                 1.11051e-06       0.000161154       0.000128728       16033.3           520               1                 0                 
96: 5                 3.10316e-07       3.70687e-05       7.64807e-05       7490.18           531               1                 0                 
96: 6                 9.85226e-08       1.79796e-05       7.91496e-05       8046.04           425               2                 0                 
96: 7                 1.31753e-08       1.95811e-05       3.33359e-05       7058.21           381               1                 0                 
96: 8                 1.27931e-10       3.57508e-07       4.44451e-06       2761.3            410               1                 0                 
96: 9                 2.64723e-11       5.1663e-09        1.53578e-07       60.9049           429               1                 0                 
96: 10                1.24173e-11       2.58485e-09       1.28859e-07       9.61632           410               2                 0                 
96: 11                0.0151035         0.247855          0.705484          3.89121e+08       1072              30                0                 
96: 12                0.0170713         0.247916          0.70133           7.03074e+06       1023              8                 0                 
96: 13                0.0172038         0.245353          0.701253          414948            1412              12                0                 
96: 14                0.0171391         0.245406          0.69882           1.11155e+06       1345              9                 0                 
96: 15                0.0172917         0.262143          0.698131          1.46767e+06       1338              9                 0                 
96: 16                0.0173521         0.263827          0.697555          1.35658e+06       1437              11                0                 
96: 17                0.0176745         0.264443          0.696785          1.90596e+06       1409              11                0                 
