run.
Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   
  0     1.459049e-03   6.442620e-03   
  1     1.417870e-03   6.340733e-03   6.442620e-03   2         2         1         0         3782      
  2     4.196618e-05   7.312145e-04   4.053179e-01   3         3         1         0         7829      
  3     1.550934e-05   2.754136e-04   5.818637e-02   4         4         1         0         11586     
  4     8.582448e-06   2.093672e-04   3.694560e-02   5         5         1         0         14483     
  5     5.267472e-06   3.134745e-04   5.295889e-02   6         6         1         0         17437     
  6     2.654063e-06   1.094060e-04   2.212739e-02   7         7         1         0         20352     
  7     2.072176e-06   7.894428e-05   7.307849e-03   8         8         1         0         23342     
  8     1.175170e-06   6.025979e-05   1.948239e-02   9         9         1         0         26335     
  9     6.283048e-07   4.368385e-05   2.034401e-02   10        10        1         0         29334     
  10    5.169682e-07   7.868628e-05   1.233148e-02   12        11        2         0         34429     
  11    3.256178e-07   2.939365e-05   8.446500e-03   13        12        1         0         37455     
  12    2.508774e-07   2.249144e-05   5.023553e-03   14        13        1         0         40517     
  13    1.663291e-07   1.998754e-05   8.372248e-03   15        14        1         0         43585     
  14    9.058504e-08   1.421992e-05   9.120905e-03   16        15        1         0         46668     
  15    4.298351e-08   8.725234e-06   1.077192e-02   17        16        1         0         49775     
  16    2.946478e-08   9.544683e-06   5.435761e-03   18        17        1         0         52882     
  17    2.055985e-08   7.288319e-06   2.252618e-03   19        18        1         0         56019     
  18    1.234670e-08   5.795066e-06   2.639949e-03   20        19        1         0         59168     
  19    6.035918e-09   3.537365e-06   5.298716e-03   21        20        1         0         62347     
  20    5.659957e-09   2.909974e-06   9.707360e-04   23        21        2         0         67832     
  21    5.225817e-09   5.819207e-07   5.090958e-04   24        22        1         0         71068     
  22    5.186208e-09   5.462908e-07   9.222416e-05   25        23        1         0         73390     
  23    4.950575e-09   1.038353e-06   6.507536e-04   26        24        1         0         76596     
  24    4.551189e-09   1.751275e-06   1.260910e-03   27        25        1         0         79802     
  25    3.619649e-09   2.657788e-06   3.359128e-03   28        26        1         0         83035     
  26    2.410578e-09   2.922130e-06   5.350371e-03   29        27        1         0         86277     
  27    1.888348e-09   3.347719e-06   5.257060e-03   31        28        2         0         91750     
  28    1.095161e-09   1.189211e-06   9.077619e-04   32        29        1         0         94989     
  29    8.839020e-10   4.681104e-07   4.507146e-04   33        30        1         0         98216     
  30    8.362783e-10   4.858499e-07   1.758400e-04   34        31        1         0         100517    
  31    7.537471e-10   5.091911e-07   4.141647e-04   35        32        1         0         102821    
  32    6.647841e-10   3.763914e-07   6.746178e-04   36        33        1         0         105116    
  33    6.569646e-10   8.871286e-07   7.921547e-04   37        34        1         0         108346    
  34    5.965035e-10   2.441331e-07   1.524950e-04   38        35        1         0         111657    
  35    5.828183e-10   2.104451e-07   8.964889e-05   39        36        1         0         114012    
  36    5.480851e-10   2.708735e-07   3.774965e-04   40        37        1         0         116361    
  37    5.027189e-10   2.982717e-07   5.897236e-04   41        38        1         0         118710    
  38    4.520859e-10   5.440741e-07   1.196725e-03   42        39        1         0         121949    
  39    4.326259e-10   4.024559e-07   9.477546e-04   43        40        1         0         125200    
  40    4.088983e-10   1.453840e-07   4.341081e-04   44        41        1         0         128475    
  41    3.996767e-10   1.425097e-07   9.616054e-05   45        42        1         0         130866    
  42    3.685458e-10   2.921676e-07   4.259146e-04   46        43        1         0         133221    
  43    3.199721e-10   4.566777e-07   9.335249e-04   47        44        1         0         135540    
  44    2.392347e-10   5.228577e-07   1.976086e-03   48        45        1         0         137844    
  45    1.243895e-10   4.419278e-07   2.870835e-03   49        46        1         0         140169    
  46    8.315324e-11   4.957195e-07   1.814231e-03   51        47        2         0         145882    
  47    4.012738e-11   8.645022e-08   1.322482e-03   52        48        1         0         149157    
  48    3.596949e-11   5.760758e-08   2.439830e-04   53        49        1         0         151548    
  49    3.518749e-11   5.118874e-08   1.478701e-04   54        50        1         0         153927    
  50    3.480268e-11   2.822338e-08   3.230784e-05   55        51        1         0         156375    
  51    3.454584e-11   2.014854e-08   4.243963e-05   56        52        1         0         158778    
  52    3.430967e-11   2.696996e-08   5.422405e-05   57        53        1         0         161211    
  53    3.401140e-11   3.829572e-08   5.206496e-05   58        54        1         0         163656    
  54    3.315470e-11   6.068825e-08   1.295806e-04   59        55        1         0         166083    
  55    3.172261e-11   7.553455e-08   2.090525e-04   60        56        1         0         168504    
  56    2.975057e-11   7.117390e-08   2.943881e-04   61        57        1         0         170910    
  57    2.955220e-11   1.668021e-07   3.635605e-04   62        58        1         0         173334    
  58    2.789017e-11   3.232192e-08   7.860836e-05   63        59        1         0         175755    
  59    2.756001e-11   2.482066e-08   4.722009e-05   64        60        1         0         178200    
  60    2.710126e-11   4.386108e-08   6.473094e-05   65        61        1         0         180633    
  61    2.613335e-11   7.232711e-08   1.291779e-04   66        62        1         0         183048    
  62    2.350649e-11   1.193645e-07   3.887425e-04   67        63        1         0         185454    
  63    1.824203e-11   1.665259e-07   8.900523e-04   68        64        1         0         187857    
  64    1.011326e-11   1.737149e-07   1.602187e-03   69        65        1         0         190254    
  65    9.868041e-12   1.745683e-07   6.690452e-05   75        66        6         0         203861    
  66    3.600022e-12   1.022413e-07   1.480937e-03   76        67        1         0         206219    
  67    1.704823e-12   2.675909e-08   4.389617e-04   77        68        1         0         208631    
  68    1.510673e-12   4.661956e-09   1.329610e-04   78        69        1         0         211058    
  69    1.499880e-12   3.547954e-09   6.082412e-05   79        70        1         0         213518    
  70    1.493426e-12   3.097186e-09   2.163862e-05   80        71        1         0         216032    
  71    1.450679e-12   3.936465e-09   7.104463e-05   81        72        1         0         218510    
  72    1.360057e-12   6.903139e-09   8.326093e-05   82        73        1         0         220931    
  73    1.280476e-12   1.706989e-08   9.019084e-05   83        74        1         0         223376    
  74    1.231817e-12   4.209729e-09   9.327922e-05   84        75        1         0         225824    
  75    1.220354e-12   1.688023e-09   7.626725e-05   85        76        1         0         228302    
  76    1.218309e-12   1.163320e-09   1.645658e-05   86        77        1         0         230810    
  77    1.214474e-12   2.144413e-09   2.237145e-05   87        78        1         0         233312    
  78    1.206085e-12   4.442769e-09   3.154029e-05   88        79        1         0         235799    
  79    1.183010e-12   8.523054e-09   6.279279e-05   89        80        1         0         238274    
  80    1.126741e-12   1.463350e-08   1.245180e-04   90        81        1         0         240740    
  81    9.937378e-13   2.282602e-08   2.702880e-04   91        82        1         0         243191    
  82    7.326838e-13   3.019873e-08   5.307548e-04   92        83        1         0         245615    
  83    3.761362e-13   2.811540e-08   7.753032e-04   93        84        1         0         248030    
  84    3.682441e-13   3.602666e-08   1.136557e-04   97        85        4         0         255131    
  85    1.207332e-13   1.520968e-08   4.908315e-04   98        86        1         0         257564    
  86    6.026205e-14   3.158453e-09   1.327296e-04   99        87        1         0         259979    
  87    5.483667e-14   6.263156e-10   7.778904e-05   100       88        1         0         262457    
Optimization Terminated with Status: Converged
The process took 1018.18 seconds to run.
Total n_vmult for algorithm 262457
