run.
Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.456137e-03   6.436058e-03   
  1     1.415042e-03   6.334335e-03   6.436058e-03   2         2         1         0         2669      6                 1575              2                 0                 
  2     4.121833e-05   7.305232e-04   4.051931e-01   3         3         1         0         5799      13                3438              3                 0                 
  3     1.491652e-05   2.778151e-04   5.812999e-02   4         4         1         0         8500      19                5052              4                 0                 
  4     8.258093e-06   2.295387e-04   3.718194e-02   5         5         1         0         10523     24                6168              5                 0                 
  5     5.017157e-06   3.063692e-04   5.134101e-02   6         6         1         0         13401     30                7959              6                 0                 
  6     2.536953e-06   1.015993e-04   1.606076e-02   7         7         1         0         15451     35                9102              7                 0                 
  7     1.910317e-06   8.191707e-05   9.140073e-03   8         8         1         0         17552     40                10296             8                 0                 
  8     1.165447e-06   7.325073e-05   1.628891e-02   9         9         1         0         19638     45                11475             9                 0                 
  9     5.037434e-07   5.923048e-05   2.354177e-02   10        10        1         0         21745     50                12675             10                0                 
  10    4.610080e-07   9.254172e-05   1.225888e-02   12        11        2         0         25244     59                14547             11                0                 
  11    2.894821e-07   2.691140e-05   3.319475e-03   13        12        1         0         27378     64                15774             12                0                 
  12    2.448743e-07   2.406781e-05   2.412583e-03   14        13        1         0         29563     69                17052             13                0                 
  13    1.570829e-07   2.570242e-05   7.379748e-03   15        14        1         0         31724     74                18306             14                0                 
  14    8.655501e-08   1.684032e-05   8.037867e-03   16        15        1         0         33933     79                19608             15                0                 
  15    3.656631e-08   8.839491e-06   8.797265e-03   17        16        1         0         36184     84                20952             16                0                 
  16    1.855054e-08   6.386005e-06   5.693049e-03   18        17        1         0         38384     89                22245             17                0                 
  17    1.371086e-08   5.225560e-06   2.440716e-03   19        18        1         0         40662     94                23616             18                0                 
  18    1.161073e-08   3.507992e-06   1.012344e-03   20        19        1         0         42982     99                25029             19                0                 
  19    1.004797e-08   3.250455e-06   8.022835e-04   21        20        1         0         45365     104               26505             20                0                 
  20    6.121527e-09   4.963093e-06   2.859637e-03   22        21        1         0         47721     109               27954             21                0                 
  21    3.118026e-09   4.431370e-06   3.158988e-03   23        22        1         0         50029     114               29355             22                0                 
  22    2.727372e-09   4.200548e-06   7.621020e-04   26        23        3         0         55550     127               32529             23                0                 
  23    1.703325e-09   1.082098e-06   1.726142e-03   27        24        1         0         57882     132               33954             24                0                 
  24    1.629891e-09   3.350489e-07   2.110375e-04   28        25        1         0         60289     137               35454             25                0                 
  25    1.610201e-09   3.985205e-07   1.249345e-04   29        26        1         0         62774     142               37032             26                0                 
  26    1.576979e-09   6.445179e-07   1.828308e-04   30        27        1         0         65280     147               38631             27                0                 
  27    1.478501e-09   1.174936e-06   5.578199e-04   31        28        1         0         67714     152               40158             28                0                 
  28    1.290003e-09   1.709931e-06   1.170999e-03   32        29        1         0         70139     157               41676             29                0                 
  29    9.815357e-10   1.857942e-06   2.143153e-03   33        30        1         0         72483     162               43113             30                0                 
  30    6.114243e-10   2.046157e-06   3.726082e-03   34        31        1         0         74806     167               44529             31                0                 
  31    5.942398e-10   1.609624e-06   3.358806e-03   35        32        1         0         77171     172               45987             32                0                 
