Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     3.242575e-03   1.010969e-01   
  1     3.175185e-03   1.412732e-01   1.010969e-01   2         2         1         0         692               6                 1302              2                 0                 
  2     9.056729e-05   1.438325e-02   4.779839e-02   3         3         1         0         1213              11                2268              3                 0                 
  3     2.496614e-05   7.301242e-03   6.317488e-03   4         4         1         0         1695              16                3143              4                 0                 
  4     2.885116e-06   3.130336e-03   7.127280e-03   5         5         1         0         2189              21                4046              5                 0                 
  5     2.040301e-06   2.880057e-03   2.126684e-03   6         6         1         0         2716              26                5026              6                 0                 
  6     6.982195e-07   6.653425e-04   9.236183e-04   7         7         1         0         3309              31                6160              7                 0                 
  7     5.346332e-07   5.269855e-04   2.801621e-04   8         8         1         0         3822              35                7154              8                 0                 
  8     1.031619e-07   3.348861e-04   1.437746e-03   9         9         1         0         4308              39                8085              9                 0                 
  9     3.565054e-08   1.813135e-04   6.073057e-04   10        10        1         0         4827              43                9093              10                0                 
  10    3.548360e-08   2.586910e-04   2.453088e-04   11        11        1         0         5376              47                10171             11                0                 
  11    2.339806e-08   7.518696e-05   1.046250e-04   12        12        1         0         5916              51                11228             12                0                 
  12    2.069479e-08   5.796157e-05   4.550214e-05   13        13        1         0         6483              55                12348             13                0                 
  13    1.302529e-08   6.562704e-05   2.358909e-04   14        14        1         0         7023              59                13405             14                0                 
  14    9.275287e-09   5.372043e-05   1.697959e-04   15        15        1         0         7581              63                14504             15                0                 
  15    5.416342e-09   8.012201e-05   3.330366e-04   16        16        1         0         8133              67                15589             16                0                 
  16    2.376021e-09   3.151151e-05   1.868377e-04   17        17        1         0         8709              71                16730             17                0                 
  17    1.352772e-09   2.083219e-05   5.977317e-05   18        18        1         0         9288              75                17878             18                0                 
  18    9.217918e-10   1.937276e-05   8.426275e-05   19        19        1         0         9849              79                18984             19                0                 
  19    6.963358e-10   9.850204e-06   3.236505e-05   20        20        1         0         10434             83                20146             20                0                 
  20    6.046547e-10   8.291248e-06   1.434709e-05   21        21        1         0         10897             86                21070             21                0                 
  21    3.991294e-10   3.850492e-06   6.728027e-05   22        22        1         0         11479             90                22225             22                0                 
  22    3.805666e-10   8.026602e-06   2.366371e-05   23        23        1         0         12070             94                23401             23                0                 
