Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.391927e-02   1.492955e-01   
  1     8.639826e-03   1.856182e-01   1.492955e-01   2         2         1         0         
  2     3.055608e-03   5.698351e-02   5.108066e-02   3         3         1         0         
  3     1.527145e-03   4.035423e-02   3.801767e-02   4         4         1         0         
  4     2.311446e-04   2.567987e-02   6.116279e-02   5         5         1         0         
  5     9.014923e-05   2.071766e-02   2.828420e-02   6         6         1         0         
  6     2.547704e-05   8.211496e-03   9.147839e-03   7         7         1         0         
  7     1.346574e-05   1.807695e-03   3.600099e-03   8         8         1         0         
  8     1.223729e-05   1.479542e-03   8.048774e-04   9         9         1         0         
  9     8.504154e-06   1.667412e-03   3.840322e-03   10        10        1         0         
  10    5.369393e-06   1.741624e-03   4.386961e-03   11        11        1         0         
  11    3.289605e-06   2.690062e-03   8.746044e-03   12        12        1         0         
  12    1.520422e-06   1.201792e-03   3.447452e-03   13        13        1         0         
  13    8.723571e-07   4.112020e-04   2.135826e-03   14        14        1         0         
  14    6.823178e-07   2.893335e-04   6.627907e-04   15        15        1         0         
  15    4.830320e-07   2.826073e-04   1.420014e-03   16        16        1         0         
  16    3.794039e-07   3.816523e-04   1.229646e-03   17        17        1         0         
  17    2.820294e-07   1.709508e-04   1.236845e-03   18        18        1         0         
  18    2.383545e-07   1.526132e-04   4.751633e-04   19        19        1         0         
  19    1.873972e-07   1.522515e-04   9.504301e-04   20        20        1         0         
  20    1.762373e-07   2.883632e-04   1.146420e-03   21        21        1         0         
  21    1.402905e-07   9.859156e-05   2.451947e-04   22        22        1         0         
  22    1.264710e-07   7.430232e-05   2.480378e-04   23        23        1         0         
  23    1.117169e-07   8.552762e-05   4.757698e-04   24        24        1         0         
