Starting optimization with 60...

Newton-Krylov using GMRES with Limited-Memory BFGS preconditioning
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Newton-Krylov status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
  iterCG   - Number of Krylov iterations used to compute search direction
  flagCG   - Krylov solver flag
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     iterCG    flagCG    ls_#fval  ls_#grad  
  0     1.391927e-02   1.492955e-01   
  1     1.836194e-03   8.921555e-02   2.195496e+04   2         2         52        0         1         0         
  2     4.704071e-04   4.390342e-02   1.550457e+04   4         3         61        0         2         0         
  3     2.158815e-04   9.808320e-03   6.080441e+03   5         4         49        0         1         0         
  4     2.631055e-05   2.948532e-03   1.612777e+04   6         5         49        0         1         0         
  5     3.625844e-06   1.708012e-03   1.854323e+03   7         6         48        0         1         0         
  6     8.105112e-07   3.530454e-04   2.751424e+03   8         7         47        0         1         0         
  7     4.485314e-07   6.490996e-04   1.099725e+03   10        8         57        0         2         0         
  8     8.630223e-08   2.069399e-04   4.369486e+02   11        9         47        0         1         0         
  9     2.934916e-08   6.316927e-05   8.500477e+02   12        10        49        0         1         0         
  10    1.684414e-08   6.633746e-05   5.915010e+02   13        11        55        0         1         0         
  11    1.352339e-08   5.568605e-05   1.099533e+03   15        12        57        0         2         0         
  12    1.093407e-08   3.124706e-05   7.560546e+02   17        13        54        0         2         0         
  13    1.054973e-08   2.497374e-05   2.720848e+02   20        14        51        0         3         0         
  14    1.037219e-08   3.004316e-05   2.497374e-05   21        15        54        0         1         0         
  15    1.034284e-08   2.633958e-05   7.237733e+01   25        16        51        0         4         0         
  16    1.023727e-08   1.513935e-05   1.316979e-05   27        17        53        0         2         0         
  17    8.699590e-09   8.724985e-05   1.641888e+03   29        18        59        0         2         0         
  18    8.633022e-09   6.623509e-05   5.516220e+02   32        19        47        0         3         0         
  19    3.790339e-09   2.365356e-05   6.171916e+02   33        20        50        0         1         0         
  20    3.519799e-09   2.650887e-05   2.365356e-05   34        21        51        0         1         0         
  21    1.578951e-09   3.296071e-06   4.256567e+02   35        22        49        0         1         0         
  22    1.559237e-09   2.450987e-05   8.900509e+01   39        23        64        0         4         0         
  23    1.037957e-09   1.298156e-05   1.113839e+02   41        24        51        0         2         0         
  24    1.032408e-09   1.112300e-05   1.111524e+01   47        25        54        0         6         0         
  25    9.752775e-10   1.145773e-05   3.668974e+01   51        26        55        0         4         0         
  26    5.371072e-10   2.280236e-06   1.049494e+02   52        27        51        0         1         0         
  27    7.306781e-11   3.412532e-06   5.163477e+02   53        28        52        0         1         0         
  28    7.233906e-11   1.708152e-06   6.890290e+00   55        29        46        0         2         0         
  29    7.233087e-11   8.603209e-07   3.945246e+01   57        30        50        0         2         0         
  30    7.079645e-11   4.064330e-06   2.804033e+01   60        31        50        0         3         0         
  31    4.314905e-11   1.293123e-07   3.721365e+01   61        32        48        0         1         0         
  32    4.264379e-11   3.221274e-06   9.207369e+00   65        33        64        0         4         0         
  33    4.087100e-11   1.993589e-06   1.610637e-06   67        34        46        0         2         0         
  34    4.030847e-11   1.450788e-06   9.967947e-07   69        35        45        0         2         0         
  35    3.551057e-11   9.928871e-07   5.883360e+00   71        36        49        0         2         0         
  36    2.968303e-11   1.013346e-06   1.045981e+02   72        37        51        0         1         0         
  37    2.202031e-11   6.954101e-08   8.545049e+01   73        38        51        0         1         0         
Optimization Terminated with Status: Converged
The process took 1066.47 seconds to run.
Total n_vmult for algorithm 175574
