Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     7.428760e-03   1.864416e-01   
  1     4.602253e-03   1.774488e-01   4.661039e-02   4         2         3         0         11977             21                10283             2                 0                 
  2     2.661931e-03   8.143689e-02   1.647756e-02   5         3         1         0         13809             25                11788             3                 0                 
  3     1.604107e-03   7.333580e-02   2.195229e-02   6         4         1         0         15938             30                13510             4                 0                 
  4     8.154785e-04   6.587404e-02   2.218491e-02   7         5         1         0         18483             36                15568             5                 0                 
  5     9.703612e-05   3.231975e-02   3.694697e-02   8         6         1         0         20951             42                17549             6                 0                 
  6     7.937301e-05   2.990931e-02   6.427117e-03   10        7         2         0         24041             50                19992             7                 0                 
  7     3.967216e-05   7.516450e-03   3.330785e-03   11        8         1         0         26062             54                21686             8                 0                 
  8     3.392436e-05   6.446778e-03   9.447584e-04   12        9         1         0         28125             58                23422             9                 0                 
  9     1.558333e-05   6.200021e-03   4.754076e-03   13        10        1         0         30132             62                25102             10                0                 
  10    6.359277e-06   4.383675e-03   3.889992e-03   14        11        1         0         32139             66                26782             11                0                 
  11    4.437987e-06   5.342636e-03   4.417279e-03   15        12        1         0         34132             70                28448             12                0                 
  12    1.370759e-06   1.332342e-03   1.103430e-03   16        13        1         0         36216             74                30205             13                0                 
  13    9.537086e-07   9.276212e-04   4.643143e-04   17        14        1         0         38405             78                32067             14                0                 
  14    5.022946e-07   7.825256e-04   1.177124e-03   18        15        1         0         40510             82                33845             15                0                 
  15    4.915512e-07   1.378503e-03   7.398562e-04   19        16        1         0         42657             86                35665             16                0                 
  16    3.360321e-07   4.430216e-04   2.385693e-04   20        17        1         0         44965             90                37646             17                0                 
  17    2.879126e-07   3.015068e-04   1.523514e-04   21        18        1         0         47231             94                39585             18                0                 
  18    1.841759e-07   4.044450e-04   6.062749e-04   22        19        1         0         49511             98                41538             19                0                 
  19    1.152493e-07   3.546131e-04   5.592349e-04   23        20        1         0         51889             102               43589             20                0                 
  20    1.138102e-07   7.049006e-04   8.256074e-04   24        21        1         0         53718             105               45171             21                0                 
  21    6.184576e-08   1.211295e-04   2.105081e-04   25        22        1         0         56019             109               47145             22                0                 
  22    5.710563e-08   1.064090e-04   6.898548e-05   26        23        1         0         58432             113               49231             23                0                 
  23    4.397453e-08   1.205133e-04   2.197339e-04   27        24        1         0         60803             117               51275             24                0                 
  24    3.907744e-08   1.683743e-04   1.617584e-04   29        25        2         0         64058             124               53963             25                0                 
  25    3.302251e-08   8.760729e-05   1.551441e-04   30        26        1         0         65957             127               55615             26                0                 
  26    2.853116e-08   6.873137e-05   1.590145e-04   31        27        1         0         67884             130               57295             27                0                 
  27    2.419937e-08   7.357268e-05   1.629776e-04   32        28        1         0         69804             133               58968             28                0                 
  28    1.888887e-08   6.061562e-05   2.361590e-04   33        29        1         0         71710             136               60627             29                0                 
  29    1.744374e-08   7.836096e-05   1.138649e-04   35        30        2         0         74133             141               62643             30                0                 
  30    1.576790e-08   3.906707e-05   8.340386e-05   36        31        1         0         76102             144               64365             31                0                 
  31    1.462321e-08   3.866252e-05   7.144656e-05   37        32        1         0         78487             148               66423             32                0                 
  32    1.288557e-08   4.940992e-05   1.351385e-04   38        33        1         0         80865             152               68474             33                0                 
  33    1.051322e-08   6.992127e-05   2.394077e-04   39        34        1         0         83201             156               70483             34                0                 
  34    7.755460e-09   5.116982e-05   3.421661e-04   40        35        1         0         85121             159               72156             35                0                 
  35    5.823033e-09   3.225570e-05   1.550370e-04   41        36        1         0         87083             162               73871             36                0                 
  36    4.544236e-09   2.550132e-05   1.255980e-04   42        37        1         0         89024             165               75565             37                0                 
  37    4.056854e-09   3.173971e-05   7.034482e-05   43        38        1         0         91430             169               77644             38                0                 
  38    3.570100e-09   2.636030e-05   6.022346e-05   44        39        1         0         93420             172               79387             39                0                 
  39    2.764380e-09   2.610086e-05   1.347952e-04   45        40        1         0         95340             175               81060             40                0                 
  40    2.364729e-09   2.507938e-05   9.062443e-05   46        41        1         0         97302             178               82775             41                0                 
  41    2.119198e-09   1.372997e-05   5.995657e-05   47        42        1         0         99722             182               84868             42                0                 
  42    1.985477e-09   1.239999e-05   2.465920e-05   48        43        1         0         101775            185               86674             43                0                 
  43    1.811511e-09   1.840016e-05   3.447586e-05   49        44        1         0         103807            188               88459             44                0                 
  44    1.534750e-09   2.383067e-05   6.651833e-05   50        45        1         0         105818            191               90223             45                0                 
  45    1.147388e-09   1.987911e-05   1.126881e-04   51        46        1         0         107822            194               91980             46                0                 
  46    1.056680e-09   2.225940e-05   4.295315e-05   54        47        3         0         110874            201               94465             47                0                 
  47    8.499400e-10   7.446637e-06   7.690583e-05   55        48        1         0         112885            204               96229             48                0                 
  48    7.941017e-10   5.529230e-06   1.857974e-05   56        49        1         0         114938            207               98035             49                0                 
  49    7.585123e-10   5.800905e-06   1.416750e-05   57        50        1         0         116998            210               99848             50                0                 
  50    7.057389e-10   4.830233e-06   2.311773e-05   58        51        1         0         119072            213               101675            51                0                 
  51    5.659650e-10   6.931538e-06   7.898005e-05   59        52        1         0         121118            216               103474            52                0                 
  52    3.938758e-10   1.084758e-05   1.241160e-04   60        53        1         0         123150            219               105259            53                0                 
  53    3.684219e-10   2.360689e-05   2.278030e-04   61        54        1         0         125161            222               107023            54                0                 
  54    1.538949e-10   7.346634e-06   2.254988e-05   62        55        1         0         127221            225               108836            55                0                 
  55    1.193917e-10   3.689748e-06   1.380112e-05   63        56        1         0         129316            228               110684            56                0                 
  56    1.086631e-10   2.271407e-06   1.450054e-05   64        57        1         0         131383            231               112504            57                0                 
  57    1.040026e-10   1.987286e-06   6.068380e-06   65        58        1         0         133471            234               114345            58                0                 
  58    9.725379e-11   2.958947e-06   9.318536e-06   66        59        1         0         135622            237               116249            59                0                 
  59    8.274515e-11   3.833168e-06   2.311116e-05   67        60        1         0         137829            240               118209            60                0                 
  60    7.339311e-11   1.800804e-06   1.650068e-05   68        61        1         0         139987            243               120120            61                0                 
  61    7.088113e-11   7.727508e-07   6.111973e-06   69        62        1         0         142278            246               122164            62                0                 
  62    6.991238e-11   1.228134e-06   2.775510e-06   70        63        1         0         144541            249               124180            63                0                 
  63    6.821558e-11   2.073378e-06   5.073549e-06   71        64        1         0         146755            252               126147            64                0                 
  64    6.393961e-11   3.462629e-06   1.375276e-05   72        65        1         0         148850            255               127995            65                0                 
  65    5.495896e-11   5.016970e-06   3.176140e-05   73        66        1         0         151015            258               129913            66                0                 
  66    4.035278e-11   5.570157e-06   5.792134e-05   74        67        1         0         153152            261               131803            67                0                 
  67    2.350617e-11   3.870251e-06   6.989579e-05   75        68        1         0         155289            264               133693            68                0                 
  68    1.548507e-11   1.771939e-06   4.600548e-05   76        69        1         0         157412            267               135569            69                0                 
  69    1.316879e-11   8.455819e-07   4.846137e-06   77        70        1         0         159542            270               137452            70                0                 
  70    1.246810e-11   1.186253e-06   6.233558e-06   78        71        1         0         161721            273               139384            71                0                 
  71    1.111075e-11   1.455135e-06   8.710720e-06   79        72        1         0         163998            276               141414            72                0                 
  72    1.033785e-11   2.458742e-06   1.485825e-05   80        73        1         0         166240            279               143409            73                0                 
  73    8.255822e-12   1.078582e-06   5.757149e-06   81        74        1         0         168447            282               145369            74                0                 
  74    7.500408e-12   3.951712e-07   1.107238e-05   82        75        1         0         170745            285               147420            75                0                 
  75    7.293785e-12   2.339719e-07   8.151204e-06   83        76        1         0         173015            288               149443            76                0                 
  76    7.209561e-12   2.784674e-07   2.642589e-06   84        77        1         0         174862            290               151123            77                0                 
  77    6.885864e-12   5.572062e-07   7.179098e-06   85        78        1         0         177097            293               153111            78                0                 
  78    6.316933e-12   8.854863e-07   9.540232e-06   86        79        1         0         178895            295               154742            79                0                 
  79    5.169864e-12   1.167799e-06   1.624789e-05   87        80        1         0         181095            298               156695            80                0                 
  80    4.025465e-12   1.303057e-06   1.692430e-05   88        81        1         0         183491            301               158844            81                0                 
  81    3.403130e-12   4.820977e-07   1.031518e-05   89        82        1         0         185838            304               160944            82                0                 
  82    3.240252e-12   1.298606e-07   6.137627e-06   90        83        1         0         188304            307               163163            83                0                 
  83    3.216009e-12   6.809810e-08   2.969364e-06   91        84        1         0         190214            309               164906            84                0                 
Optimization Terminated with Status: Converged
The process took 2689.02 seconds to run.
Total n_vmult for algorithm 190214
