Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     6.547609e-03   2.214958e-01   
  1     2.374127e-03   1.664308e-01   5.537394e-02   4         2         3         0         11117             40                7903              2                 0                 
  2     5.967238e-04   5.166621e-02   1.738976e-02   5         3         1         0         13026             44                9485              3                 0                 
  3     1.661677e-04   2.560896e-02   1.337712e-02   6         4         1         0         15536             50                11508             4                 0                 
  4     3.292636e-05   1.251305e-02   9.579806e-03   7         5         1         0         18074             56                13559             5                 0                 
  5     1.762677e-05   1.181135e-02   3.149775e-03   9         6         2         0         21601             65                16359             6                 0                 
  6     7.051465e-06   4.317503e-03   2.099001e-03   10        7         1         0         24108             70                18459             7                 0                 
  7     4.148349e-06   2.918757e-03   1.093127e-03   11        8         1         0         26171             74                20195             8                 0                 
  8     1.763177e-06   1.718064e-03   1.549254e-03   12        9         1         0         28227             78                21924             9                 0                 
  9     6.672495e-07   1.121949e-03   1.154484e-03   13        10        1         0         30339             82                23709             10                0                 
  10    1.438112e-07   5.793293e-04   1.250260e-03   14        11        1         0         32507             86                25550             11                0                 
  11    1.389242e-07   7.100983e-04   4.947821e-04   15        12        1         0         34752             90                27468             12                0                 
  12    6.389851e-08   1.857918e-04   2.325030e-04   16        13        1         0         36990             94                29379             13                0                 
  13    5.140649e-08   1.449117e-04   8.183241e-05   17        14        1         0         39305             98                31367             14                0                 
  14    2.167810e-08   1.459274e-04   3.794433e-04   18        15        1         0         41564             102               33299             15                0                 
  15    1.686879e-08   1.789210e-04   1.433686e-04   20        16        2         0         43889             107               35217             16                0                 
  16    1.128945e-08   8.984959e-05   8.811870e-05   21        17        1         0         45774             110               36855             17                0                 
  17    7.459147e-09   4.880080e-05   1.037090e-04   22        18        1         0         48117             114               38871             18                0                 
  18    5.640096e-09   4.402897e-05   7.165207e-05   23        19        1         0         50474             118               40901             19                0                 
  19    3.139974e-09   3.595443e-05   1.176779e-04   24        20        1         0         52859             122               42959             20                0                 
  20    1.649272e-09   5.083506e-05   1.421757e-04   25        21        1         0         55237             126               45010             21                0                 
  21    1.350168e-09   3.778405e-05   5.949923e-05   26        22        1         0         57608             130               47054             22                0                 
  22    1.108021e-09   1.412226e-05   2.306199e-05   27        23        1         0         59577             133               48776             23                0                 
  23    9.863301e-10   1.260198e-05   1.290084e-05   28        24        1         0         61581             136               50533             24                0                 
  24    6.927779e-10   2.012384e-05   4.584821e-05   29        25        1         0         63599             139               52304             25                0                 
  25    4.442521e-10   1.925286e-05   5.813816e-05   30        26        1         0         65624             142               54082             26                0                 
  26    2.739171e-10   1.955721e-05   7.097979e-05   31        27        1         0         67600             145               55811             27                0                 
  27    1.816528e-10   7.017935e-06   2.419166e-05   32        28        1         0         69611             148               57575             28                0                 
  28    1.402777e-10   7.793901e-06   1.666027e-05   33        29        1         0         71685             151               59402             29                0                 
  29    8.141664e-11   1.063656e-05   3.426204e-05   34        30        1         0         73738             154               61208             30                0                 
  30    3.730437e-11   7.870859e-06   3.648552e-05   35        31        1         0         75812             157               63035             31                0                 
  31    3.330618e-11   7.250752e-06   2.017329e-05   36        32        1         0         77858             160               64834             32                0                 
  32    2.255368e-11   1.266938e-06   5.516420e-06   37        33        1         0         79946             163               66675             33                0                 
  33    2.196178e-11   6.212652e-07   1.315611e-06   38        34        1         0         82104             166               68586             34                0                 
  34    2.164357e-11   6.959648e-07   7.864394e-07   39        35        1         0         84255             169               70490             35                0                 
  35    2.094199e-11   1.397155e-06   1.974545e-06   40        36        1         0         86378             172               72366             36                0                 
  36    1.943396e-11   2.483782e-06   4.732618e-06   41        37        1         0         88494             175               74235             37                0                 
  37    1.614826e-11   3.759772e-06   1.147510e-05   42        38        1         0         90631             178               76125             38                0                 
  38    1.115659e-11   4.116054e-06   1.972144e-05   43        39        1         0         92775             181               78022             39                0                 
  39    6.272938e-12   2.414647e-06   2.033753e-05   44        40        1         0         95045             184               80045             40                0                 
  40    4.983782e-12   5.422236e-07   6.945292e-06   45        41        1         0         97315             187               82068             41                0                 
  41    4.849118e-12   3.095525e-07   1.712053e-06   46        42        1         0         99746             190               84252             42                0                 
  42    4.798982e-12   4.075499e-07   1.123784e-06   47        43        1         0         101705            192               86044             43                0                 
  43    4.699443e-12   6.087294e-07   1.516468e-06   48        44        1         0         103559            194               87731             44                0                 
  44    4.403636e-12   9.704321e-07   3.340808e-06   49        45        1         0         105892            197               89817             45                0                 
  45    3.734956e-12   1.462140e-06   7.582892e-06   50        46        1         0         108211            200               91889             46                0                 
  46    2.527004e-12   1.817060e-06   1.509396e-05   51        47        1         0         110488            203               93919             47                0                 
  47    1.070931e-12   1.443133e-06   2.163627e-05   52        48        1         0         112765            206               95949             48                0                 
  48    3.431994e-13   9.163469e-07   1.484302e-05   53        49        1         0         115154            209               98091             49                0                 
  49    1.878334e-13   9.495548e-08   2.366388e-06   54        50        1         0         117634            212               100324            50                0                 
Optimization Terminated with Status: Converged
The process took 1877.26 seconds to run.
Total n_vmult for algorithm 117634
