Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     7.994386e-03   2.082498e-01   
  1     7.583020e-03   3.310179e-01   6.247493e-02   2         2         1         0         5341              7                 4067              2                 0                 
  2     5.568137e-03   2.553686e-01   7.170125e-03   3         3         1         0         8231              11                6230              3                 0                 
  3     3.867760e-03   1.799737e-01   7.940446e-03   4         4         1         0         11903             16                8995              4                 0                 
  4     2.792209e-03   1.226670e-01   7.492360e-03   5         5         1         0         15323             21                11508             5                 0                 
  5     2.091804e-03   8.286848e-02   7.414110e-03   6         6         1         0         19392             27                14490             6                 0                 
  6     1.575578e-03   5.772902e-02   7.920487e-03   7         7         1         0         24491             36                17962             7                 0                 
  7     1.155665e-03   4.563163e-02   8.758300e-03   8         8         1         0         30552             47                22036             8                 0                 
  8     7.970866e-04   4.147020e-02   9.630853e-03   9         9         1         0         36419             57                26096             9                 0                 
  9     4.949181e-04   3.722562e-02   1.013423e-02   10        10        1         0         42522             68                30212             10                0                 
  10    2.693652e-04   2.807636e-02   9.548910e-03   11        11        1         0         48737             79                34440             11                0                 
  11    1.422126e-04   2.177336e-02   7.884590e-03   12        12        1         0         54695             89                38591             12                0                 
  12    6.275467e-05   1.892507e-02   7.832163e-03   13        13        1         0         60639             99                42728             13                0                 
  13    3.198576e-05   1.100943e-02   3.772620e-03   14        14        1         0         66716             109               46998             14                0                 
  14    2.022969e-05   7.942964e-03   2.308688e-03   15        15        1         0         72856             119               51331             15                0                 
  15    1.344605e-05   5.229597e-03   1.750629e-03   16        16        1         0         79038             129               55706             16                0                 
  16    9.233035e-06   3.721895e-03   1.528083e-03   17        17        1         0         85374             139               60235             17                0                 
  17    6.421887e-06   2.443856e-03   1.292438e-03   18        18        1         0         90795             148               64029             18                0                 
  18    4.463896e-06   1.805726e-03   1.207807e-03   19        19        1         0         97082             158               68509             19                0                 
  19    3.035052e-06   2.142901e-03   1.214914e-03   20        20        1         0         101319            164               71659             20                0                 
  20    2.042425e-06   1.682264e-03   9.829500e-04   21        21        1         0         105883            171               74956             21                0                 
  21    1.497895e-06   1.486500e-03   6.858882e-04   22        22        1         0         110113            177               78099             22                0                 
  22    1.000773e-06   1.361468e-03   7.253045e-04   23        23        1         0         113869            182               80948             23                0                 
  23    6.840467e-07   9.722325e-04   5.625391e-04   24        24        1         0         117632            187               83804             24                0                 
  24    5.008050e-07   7.550601e-04   4.175568e-04   25        25        1         0         121451            192               86716             25                0                 
  25    3.674729e-07   5.569018e-04   3.806246e-04   26        26        1         0         125319            197               89677             26                0                 
  26    2.638554e-07   3.561014e-04   3.922400e-04   27        27        1         0         129194            202               92645             27                0                 
  27    2.098919e-07   2.506567e-04   2.712338e-04   28        28        1         0         133076            207               95620             28                0                 
  28    1.727498e-07   2.131923e-04   2.297366e-04   29        29        1         0         136442            211               98259             29                0                 
  29    1.382440e-07   2.288360e-04   2.626530e-04   30        30        1         0         139738            215               100828            30                0                 
  30    1.082681e-07   2.024211e-04   2.685200e-04   31        31        1         0         143062            219               103425            31                0                 
  31    8.893645e-08   2.028938e-04   2.058544e-04   32        32        1         0         146428            223               106064            32                0                 
  32    6.867675e-08   2.261039e-04   2.499836e-04   33        33        1         0         149619            227               108528            33                0                 
  33    5.205572e-08   1.722387e-04   2.232403e-04   34        34        1         0         153445            232               111447            34                0                 
  34    4.174357e-08   1.497462e-04   1.733231e-04   35        35        1         0         157320            237               114415            35                0                 
  35    3.259760e-08   1.079569e-04   1.828512e-04   36        36        1         0         161711            243               117719            36                0                 
  36    2.796295e-08   7.815398e-05   1.067629e-04   37        37        1         0         165621            248               120722            37                0                 
  37    2.430968e-08   6.281714e-05   9.493589e-05   38        38        1         0         169503            253               123697            38                0                 
  38    2.074505e-08   5.506971e-05   1.043501e-04   39        39        1         0         172715            257               126182            39                0                 
  39    1.775754e-08   5.265506e-05   9.914222e-05   40        40        1         0         176709            262               129269            40                0                 
  40    1.526219e-08   5.469693e-05   9.187327e-05   41        41        1         0         180054            266               131887            41                0                 
  41    1.226482e-08   5.758883e-05   1.130405e-04   42        42        1         0         183378            270               134484            42                0                 
  42    9.327225e-09   4.932228e-05   1.315556e-04   43        43        1         0         186800            274               137179            43                0                 
  43    7.054740e-09   4.634667e-05   1.294610e-04   44        44        1         0         190187            278               139839            44                0                 
  44    5.851510e-09   3.535652e-05   8.185768e-05   45        45        1         0         193609            282               142534            45                0                 
  45    5.161007e-09   2.708245e-05   5.718574e-05   46        46        1         0         197059            286               145257            46                0                 
  46    4.587254e-09   2.219975e-05   5.387936e-05   47        47        1         0         200586            290               148057            47                0                 
  47    4.105676e-09   1.573105e-05   5.218557e-05   48        48        1         0         204064            294               150808            48                0                 
  48    3.780714e-09   1.403517e-05   3.974412e-05   49        49        1         0         207626            298               153643            49                0                 
  49    3.425492e-09   1.530589e-05   4.461902e-05   50        50        1         0         210931            301               156401            50                0                 
  50    2.960258e-09   1.816462e-05   6.037547e-05   51        51        1         0         213739            304               158662            51                0                 
  51    2.416016e-09   2.069448e-05   7.698809e-05   52        52        1         0         216421            307               160797            52                0                 
  52    1.885622e-09   2.911750e-05   1.019794e-04   53        53        1         0         219836            311               163485            53                0                 
  53    1.503386e-09   2.474564e-05   6.943967e-05   54        54        1         0         223244            315               166166            54                0                 
  54    1.219107e-09   2.328281e-05   5.959719e-05   55        55        1         0         225968            318               168343            55                0                 
  55    9.814179e-10   1.686327e-05   5.376845e-05   56        56        1         0         229229            322               170877            56                0                 
  56    8.557070e-10   1.372094e-05   2.927511e-05   57        57        1         0         232672            326               173593            57                0                 
  57    7.585042e-10   1.009802e-05   2.230183e-05   58        58        1         0         236024            330               176218            58                0                 
  58    6.837211e-10   7.233068e-06   1.832232e-05   59        59        1         0         239327            334               178794            59                0                 
  59    6.281856e-10   4.978157e-06   1.627234e-05   60        60        1         0         242784            338               181524            60                0                 
  60    5.854600e-10   3.761005e-06   1.483089e-05   61        61        1         0         246101            342               184114            61                0                 
  61    5.507282e-10   4.092937e-06   1.420803e-05   62        62        1         0         249446            346               186732            62                0                 
  62    5.123923e-10   5.382041e-06   1.724441e-05   63        63        1         0         252812            350               189371            63                0                 
  63    4.660022e-10   6.556619e-06   2.279712e-05   64        64        1         0         256150            354               191982            64                0                 
  64    4.076963e-10   8.929872e-06   3.120726e-05   65        65        1         0         259621            358               194726            65                0                 
  65    3.391984e-10   9.768082e-06   4.056617e-05   66        66        1         0         263064            362               197442            66                0                 
  66    2.701532e-10   1.028012e-05   4.836269e-05   67        67        1         0         265816            365               199647            67                0                 
  67    2.150350e-10   1.057758e-05   3.884162e-05   68        68        1         0         268561            368               201845            68                0                 
  68    1.645640e-10   8.508843e-06   3.576106e-05   69        69        1         0         271313            371               204050            69                0                 
  69    1.207482e-10   7.657467e-06   3.106482e-05   70        70        1         0         274065            374               206255            70                0                 
  70    8.827323e-11   4.922602e-06   2.391706e-05   71        71        1         0         276789            377               208432            71                0                 
  71    6.809763e-11   3.593586e-06   1.590004e-05   72        72        1         0         280309            381               211225            72                0                 
  72    5.568396e-11   2.576704e-06   1.054167e-05   73        73        1         0         283068            384               213437            73                0                 
  73    4.763927e-11   1.751311e-06   7.751938e-06   74        74        1         0         286574            388               216216            74                0                 
  74    4.268427e-11   1.168745e-06   5.654570e-06   75        75        1         0         289333            391               218428            75                0                 
  75    3.969575e-11   9.200412e-07   4.177714e-06   76        76        1         0         292099            394               220647            76                0                 
  76    3.762661e-11   7.941463e-07   3.458774e-06   77        77        1         0         294914            397               222915            77                0                 
  77    3.582539e-11   9.485216e-07   3.581343e-06   78        78        1         0         297785            400               225239            78                0                 
  78    3.418832e-11   8.776292e-07   3.712944e-06   79        79        1         0         299902            402               226989            79                0                 
  79    3.276869e-11   9.518237e-07   3.910913e-06   80        80        1         0         302745            405               229285            80                0                 
  80    3.141281e-11   9.752928e-07   4.105112e-06   81        81        1         0         305546            408               231539            81                0                 
  81    3.002209e-11   8.525868e-07   4.617758e-06   82        82        1         0         308382            411               233828            82                0                 
  82    2.876247e-11   7.814316e-07   4.501568e-06   83        83        1         0         311204            414               236103            83                0                 
  83    2.714270e-11   9.316605e-07   5.831461e-06   84        84        1         0         313970            417               238322            84                0                 
  84    2.519738e-11   8.851786e-07   7.423092e-06   85        85        1         0         316806            420               240611            85                0                 
  85    2.284463e-11   9.643333e-07   9.487614e-06   86        86        1         0         319474            423               242732            86                0                 
  86    1.995240e-11   9.444912e-07   1.283311e-05   87        87        1         0         322268            426               244979            87                0                 
  87    1.736340e-11   8.562495e-07   1.301475e-05   88        88        1         0         325041            429               247205            88                0                 
  88    1.530274e-11   8.793382e-07   1.106589e-05   89        89        1         0         327814            432               249431            89                0                 
  89    1.321588e-11   8.108108e-07   1.176550e-05   90        90        1         0         330587            435               251657            90                0                 
  90    1.156296e-11   6.980836e-07   9.576426e-06   91        91        1         0         333416            438               253939            91                0                 
  91    9.840423e-12   9.553183e-07   1.026698e-05   92        92        1         0         336196            441               256172            92                0                 
  92    8.463871e-12   7.544396e-07   8.468419e-06   93        93        1         0         338997            444               258426            93                0                 
  93    7.176465e-12   8.327449e-07   8.096921e-06   94        94        1         0         341805            447               260687            94                0                 
  94    5.943477e-12   5.882327e-07   8.192982e-06   95        95        1         0         344613            450               262948            95                0                 
  95    5.055170e-12   5.175335e-07   6.391619e-06   96        96        1         0         347421            453               265209            96                0                 
  96    4.270182e-12   5.562691e-07   5.731445e-06   97        97        1         0         350243            456               267484            97                0                 
  97    3.634376e-12   3.902548e-07   5.018636e-06   98        98        1         0         353079            459               269773            98                0                 
  98    3.195786e-12   4.278700e-07   3.768460e-06   99        99        1         0         355971            462               272118            99                0                 
  99    2.875926e-12   2.823947e-07   3.026931e-06   100       100       1         0         358800            465               274400            100               0                 
  100   2.689691e-12   2.509432e-07   1.988455e-06   101       101       1         0         361657            468               276710            101               0                 
  101   2.508222e-12   2.012314e-07   1.929914e-06   102       102       1         0         364493            471               278999            102               0                 
  102   2.342970e-12   2.057184e-07   1.919675e-06   103       103       1         0         366617            473               280756            103               0                 
  103   2.172988e-12   1.767129e-07   2.258836e-06   104       104       1         0         369320            476               282912            104               0                 
  104   2.010746e-12   1.714964e-07   2.292589e-06   105       105       1         0         371423            478               284648            105               0                 
  105   1.839229e-12   2.393067e-07   2.718015e-06   106       106       1         0         373533            480               286391            106               0                 
  106   1.675436e-12   1.911004e-07   2.856957e-06   107       107       1         0         376376            483               288687            107               0                 
  107   1.524531e-12   2.439992e-07   2.875592e-06   108       108       1         0         378479            485               290423            108               0                 
  108   1.405387e-12   1.856245e-07   2.563161e-06   109       109       1         0         380582            487               292159            109               0                 
  109   1.315859e-12   1.713489e-07   2.155120e-06   110       110       1         0         383453            490               294483            110               0                 
  110   1.250758e-12   1.397256e-07   1.737942e-06   111       111       1         0         386310            493               296793            111               0                 
  111   1.205724e-12   1.008347e-07   1.311867e-06   112       112       1         0         388441            495               298557            112               0                 
  112   1.175742e-12   8.291287e-08   1.001484e-06   113       113       1         0         390572            497               300321            113               0                 
Optimization Terminated with Status: Converged
The process took 35859.1 seconds to run.
Total n_vmult for algorithm 390572
