Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     7.192494e-03   2.031613e-01   
  1     4.224818e-03   2.015245e-01   5.079032e-02   4         2         3         0         25436             32                22862             2                 0                 
  2     1.928964e-03   8.083205e-02   1.684859e-02   5         3         1         0         27247             36                24346             3                 0                 
  3     9.785815e-04   5.945065e-02   2.006135e-02   6         4         1         0         29320             41                26012             4                 0                 
  4     4.276402e-04   4.908703e-02   1.699672e-02   7         5         1         0         31788             47                27993             5                 0                 
  5     3.300011e-04   7.516260e-02   2.824792e-02   8         6         1         0         33798             52                29596             6                 0                 
  6     6.344546e-05   2.717403e-02   9.808791e-03   9         7         1         0         35630             56                31101             7                 0                 
  7     2.180660e-05   6.350380e-03   4.189582e-03   10        8         1         0         38025             61                33089             8                 0                 
  8     1.685296e-05   5.000250e-03   9.829108e-04   11        9         1         0         40172             65                34909             9                 0                 
  9     5.973811e-06   4.349479e-03   3.729362e-03   12        10        1         0         42637             70                36967             10                0                 
  10    1.829701e-06   2.610915e-03   2.500123e-03   13        11        1         0         44707             74                38710             11                0                 
  11    5.931362e-07   1.851136e-03   2.037924e-03   14        12        1         0         46791             78                40467             12                0                 
  12    1.552967e-07   5.253708e-04   4.613373e-04   15        13        1         0         49057             82                42406             13                0                 
  13    1.023816e-07   2.756874e-04   1.928013e-04   16        14        1         0         51309             86                44331             14                0                 
  14    7.546802e-08   1.816759e-04   1.912035e-04   17        15        1         0         53152             89                45927             15                0                 
  15    5.639173e-08   2.342485e-04   1.878363e-04   18        16        1         0         55418             93                47866             16                0                 
  16    3.349072e-08   2.074638e-04   2.831813e-04   19        17        1         0         57705             97                49826             17                0                 
  17    1.512509e-08   1.685551e-04   3.483359e-04   20        18        1         0         59992             101               51786             18                0                 
  18    1.199614e-08   1.932801e-04   1.718265e-04   21        19        1         0         61842             104               53389             19                0                 
  19    8.938015e-09   5.536865e-05   5.261870e-05   22        20        1         0         63769             107               55069             20                0                 
  20    8.289749e-09   3.964479e-05   2.259439e-05   23        21        1         0         65731             110               56784             21                0                 
  21    7.177900e-09   3.493812e-05   5.932058e-05   24        22        1         0         67630             113               58436             22                0                 
  22    6.302154e-09   3.225686e-05   5.957922e-05   25        23        1         0         69522             116               60081             23                0                 
  23    4.960671e-09   4.369453e-05   1.269031e-04   26        24        1         0         71879             120               62111             24                0                 
